@relation websiteVisitor

@attribute Day {Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday}
@attribute PageLoad numeric
@attribute UniqueVisits numeric
@attribute FirstTimeVisits numeric
@attribute ReturnVisits numeric

@data
Friday,2783,1941,1663,278
Tuesday,3003,2140,1663,477
Tuesday,3084,2148,1666,482
Saturday,2687,1975,1667,308
Friday,2774,2078,1670,408
Sunday,2877,2126,1674,452
Saturday,2724,1988,1675,313
Friday,2959,2171,1680,491
Wednesday,3024,2149,1681,468
Saturday,2882,2021,1682,339
Tuesday,3077,2190,1690,500
Friday,3190,2127,1692,435
Sunday,2866,2034,1692,342
Saturday,2665,1977,1694,283
Saturday,2905,1976,1695,281
Saturday,2828,2084,1697,387
Sunday,2876,2143,1700,443
Saturday,2994,2034,1702,332
Wednesday,3047,2147,1704,443
Friday,2877,2114,1706,408
Monday,3033,2062,1706,356
Friday,2948,2070,1708,362
Friday,3380,2120,1709,411
Wednesday,3073,2192,1710,482
Sunday,2847,1913,1713,200
Sunday,2816,2159,1715,444
Saturday,2960,2138,1716,422
Saturday,2897,2066,1717,349
Sunday,3011,2091,1717,374
Saturday,2859,2064,1718,346
Friday,2950,2183,1720,463
Friday,3132,2153,1721,432
Saturday,2917,2048,1723,325
Monday,3154,2214,1726,488
Saturday,2829,2096,1726,370
Friday,2933,2007,1728,279
Thursday,3160,2211,1728,483
Friday,3179,2226,1730,496
Sunday,2994,2127,1733,394
Saturday,2948,2117,1735,382
Sunday,2973,2094,1736,358
Friday,3489,2219,1737,482
Wednesday,4639,2989,2370,619
Monday,4047,2898,2373,525
Sunday,3904,2873,2374,499
Tuesday,4388,2971,2375,596
Friday,4002,2932,2377,555
Thursday,4542,2962,2377,585
Wednesday,4187,2948,2377,571
Thursday,4147,3011,2380,631
Friday,4230,2882,2382,500
Monday,4415,3007,2382,625
Tuesday,3984,2840,2382,458
Tuesday,4119,2961,2385,576
Thursday,4475,2955,2386,569
Wednesday,4058,2923,2442,481
Monday,4007,2976,2444,532
Friday,4313,2946,2446,500
Sunday,4169,2903,2447,456
Wednesday,4244,3082,2450,632
Monday,4091,2999,2453,546
Sunday,3838,2922,2456,466
Tuesday,4584,3021,2456,565
Wednesday,4566,3042,2456,586
Friday,4364,2994,2457,537
Sunday,3973,2865,2457,408
Tuesday,4255,3077,2457,620
Thursday,4307,3077,2459,618
Friday,4225,2916,2462,454
Sunday,4090,2979,2462,517
Wednesday,4379,3032,2464,568
Monday,3892,2841,2466,375
Thursday,4392,3007,2466,541
Tuesday,4233,3091,2466,625
Monday,4324,3145,2477,668
Friday,3934,2856,2479,377
Thursday,4324,3106,2479,627
Wednesday,4498,3022,2481,541
Tuesday,4479,3135,2482,653
Wednesday,4038,2916,2482,434
Sunday,3893,2930,2483,447
Friday,4434,2969,2486,483
Friday,4482,3164,2489,675
Monday,4504,3095,2489,606
Sunday,4016,2832,2489,343
Friday,4165,3048,2490,558
Friday,4273,3038,2490,548
Monday,4482,3109,2491,618
Thursday,4340,3111,2491,620
Monday,4448,3191,2494,697
Wednesday,4291,3106,2498,608
Tuesday,4382,3138,2499,639
Friday,4171,3043,2501,542
Tuesday,4403,3151,2502,649
Sunday,4201,3093,2504,589
Tuesday,4600,3106,2504,602
Friday,4091,3002,2507,495
Thursday,4502,3050,2507,543
Thursday,4314,3049,2508,541
Friday,4376,3179,2510,669
Thursday,4263,3103,2513,590
Wednesday,4314,2919,2513,406
Wednesday,4470,3164,2513,651
Sunday,3907,2906,2519,387
Tuesday,4727,3144,2519,625
Monday,4376,3115,2521,594
Friday,4305,3047,2522,525
Sunday,4389,3059,2530,529
Thursday,4477,3134,2530,604
Monday,4608,3035,2534,501
Wednesday,4628,3206,2536,670
Monday,4185,3113,2538,575
Wednesday,4124,2849,2541,308
Monday,4638,3178,2543,635
Thursday,4343,2864,2545,319
Friday,4174,3022,2547,475
Sunday,4132,3064,2548,516
Monday,4587,3100,2550,550
